"tipo_vivienda","region","area_construccion_m2","nro_habitantes","uso_aire_acondicionado","uso_calefaccion","zona_entorno","nro_electrodomesticos","consumo_kwh_mensual","gasto_usd_mensual"
"casa","sierra",121.5,5,"no","sí","residencial",9,288,34.09
"departamento","costa",60.2,6,"no","no","residencial",10,184.3,21.43
"casa","sierra",133.9,3,"sí","no","residencial",7,245.6,29.12
"departamento","sierra",56.7,6,"no","sí","comercial",7,288.2,40.63
"condominio","sierra",97.1,4,"no","no","residencial",9,168.2,26.63
"casa","costa",127.4,2,"no","no","comercial",4,157.8,23.75
"casa","costa",135.8,2,"no","no","residencial",6,162.9,18.58
"departamento","sierra",93.5,4,"no","sí","residencial",10,305.1,34.1
"casa","costa",130.9,6,"sí","no","comercial",8,342.8,49.59
"casa","sierra",128.2,3,"sí","sí","residencial",8,319.5,40.48
"condominio","costa",119.4,2,"no","no","industrial",5,105.3,18.75
"casa","sierra",113,4,"no","no","residencial",9,141.1,19.88
"departamento","costa",58.2,3,"no","no","residencial",9,182.1,27.15
"casa","costa",128.2,4,"sí","no","residencial",10,252.5,30.67
"casa","sierra",127.5,4,"no","no","residencial",9,131.5,20.98
"departamento","costa",99.8,5,"sí","no","residencial",8,353.5,42.31
"casa","costa",99.9,2,"sí","no","residencial",5,234.7,31.49
"casa","sierra",127,2,"sí","sí","residencial",6,389.6,45.53
"casa","costa",111,3,"sí","no","residencial",9,274.4,30.46
"condominio","sierra",113.1,6,"no","no","residencial",12,236.1,28.3
"departamento","costa",102.8,2,"no","no","residencial",8,113.7,15.24
"departamento","costa",96.9,6,"sí","no","residencial",8,342.5,43.49
"departamento","costa",59.6,5,"sí","no","residencial",6,293.7,31.44
"condominio","costa",82.6,4,"no","no","residencial",7,203.3,22.59
"departamento","sierra",67.8,6,"no","no","comercial",12,244.9,32.99
"departamento","costa",88.8,4,"sí","no","comercial",5,302,41.26
"casa","costa",105.8,4,"sí","no","residencial",6,277.4,30.55
"casa","costa",124.2,6,"sí","no","residencial",10,285.5,38.48
"casa","costa",142.2,5,"sí","no","comercial",2,268.9,37.72
"casa","sierra",130.9,4,"no","sí","residencial",11,247.2,33.8
"condominio","costa",125,3,"sí","no","residencial",7,257.9,31.18
"condominio","costa",101.8,5,"no","no","residencial",8,174.7,24.73
"departamento","costa",85.3,5,"no","no","residencial",10,129.5,16.7
"departamento","costa",60.3,4,"sí","no","residencial",14,279.3,31.28
"casa","oriente",132.6,4,"sí","no","residencial",6,322.4,36.35
"casa","oriente",85.3,4,"no","no","residencial",7,188.4,27.23
"departamento","costa",52.9,1,"sí","no","residencial",8,225.1,24.83
"casa","sierra",127.3,2,"sí","no","residencial",4,213.6,24.53
"casa","costa",101.6,3,"no","no","comercial",7,165.7,28.05
"casa","oriente",127.4,3,"no","no","residencial",8,133.4,22.09
"casa","costa",94.1,3,"sí","no","residencial",8,264.9,33.38
"casa","oriente",120.5,2,"no","no","residencial",7,151.2,24.71
"casa","costa",86.2,2,"sí","no","residencial",8,263.5,34.14
"casa","costa",129.5,2,"sí","no","residencial",6,262.9,33.15
"casa","costa",84.8,4,"no","no","residencial",8,169.1,25.58
"casa","sierra",125.3,4,"no","no","residencial",10,195,22.8
"casa","sierra",120.2,2,"no","sí","residencial",8,245,29.56
"casa","oriente",138.6,3,"sí","no","residencial",8,261.3,28.65
"casa","costa",167.4,5,"no","no","residencial",9,188.5,28.59
"departamento","sierra",50,2,"no","no","residencial",12,169.3,20.17
"casa","sierra",112.8,3,"no","no","residencial",7,133.7,16.81
"casa","oriente",106.8,2,"sí","no","residencial",7,251,32.11
"departamento","costa",66.4,6,"sí","no","residencial",9,347.2,41.03
"casa","sierra",94.2,2,"no","no","residencial",9,155.1,22.92
"casa","costa",129.7,3,"no","no","comercial",7,161.1,28.3
"casa","sierra",124.5,3,"no","sí","residencial",8,220.6,28.37
"casa","costa",130.2,5,"sí","no","residencial",7,288.5,36.4
"departamento","oriente",116.2,4,"no","no","residencial",11,174.3,22.13
"departamento","sierra",50,3,"no","sí","residencial",7,249.6,28.75
"casa","sierra",125.7,5,"sí","no","comercial",9,334.7,43.29
"departamento","sierra",74.6,4,"no","no","residencial",10,181.2,21.67
"casa","costa",112.4,3,"no","no","residencial",4,129.1,17.49
"casa","oriente",106.1,2,"no","no","comercial",10,153.5,27.28
"casa","costa",116.1,3,"sí","no","industrial",9,304.8,52.16
"departamento","costa",98.7,2,"sí","no","residencial",6,237.9,28.62
"casa","costa",103.6,3,"sí","no","comercial",9,200.4,27.53
"departamento","costa",73.8,5,"no","no","residencial",7,176.2,21.98
"departamento","oriente",88.4,4,"no","no","comercial",8,199.2,32.11
"departamento","costa",89.1,7,"sí","no","residencial",8,338.6,37.35
"casa","costa",155,2,"sí","no","comercial",8,230.5,33.55
"departamento","sierra",74,2,"no","sí","residencial",6,160.2,23.07
"departamento","sierra",76.5,4,"no","sí","comercial",8,254.1,36.81
"departamento","oriente",50,6,"no","no","comercial",12,264.9,41.28
"casa","costa",146.2,4,"sí","no","comercial",11,337.7,44.38
"casa","sierra",134.6,2,"no","sí","residencial",6,272,36.66
"casa","oriente",139.8,3,"no","no","residencial",9,185,28.38
"casa","sierra",100,3,"no","sí","residencial",8,220.9,30.94
"departamento","oriente",110.5,2,"no","no","residencial",8,149.7,22.27
"casa","sierra",106.1,3,"no","no","residencial",9,123.8,14.86
"casa","costa",150.2,6,"no","no","comercial",8,187.9,31.88
"casa","costa",119.2,6,"sí","no","residencial",9,250.2,34.43
"departamento","costa",91.6,4,"sí","no","comercial",7,216.8,29.42
"casa","costa",123,2,"sí","no","residencial",6,269.2,35.28
"departamento","sierra",63.2,7,"no","no","comercial",8,176.8,29.14
"casa","oriente",116.8,5,"sí","no","industrial",8,279.7,51.58
"casa","costa",109.4,4,"no","no","residencial",10,214.5,24.67
"condominio","sierra",79.6,2,"no","no","industrial",5,143,24.58
"departamento","costa",77.2,3,"no","no","residencial",8,185.1,22.72
"departamento","sierra",62.3,4,"no","no","residencial",8,173.6,20.46
"casa","sierra",119.6,3,"no","no","industrial",9,169,29.29
"casa","sierra",123.7,2,"no","no","residencial",4,88.6,14.13
"departamento","sierra",94.4,5,"sí","no","comercial",10,302.9,44.14
"casa","costa",103,4,"sí","no","residencial",9,308.9,35.91
"departamento","costa",93.5,6,"sí","no","residencial",8,310,33.31
"casa","costa",120.1,4,"sí","no","comercial",8,334.1,47.86
"casa","costa",112.8,2,"no","no","residencial",6,131.7,21.11
"departamento","oriente",102.4,4,"no","no","residencial",11,214.9,26.53
"casa","sierra",124.9,3,"no","no","residencial",8,133.4,17.24
"casa","costa",104.2,4,"sí","no","residencial",8,253.5,30.71
"casa","costa",94.6,6,"sí","no","residencial",9,266.1,34.96
"casa","costa",126.8,4,"no","no","residencial",7,203.7,23.51
"casa","sierra",104.8,3,"sí","sí","residencial",8,296.7,33.18
"casa","sierra",156.2,4,"no","sí","residencial",6,216,29.64
"condominio","costa",110.9,3,"sí","no","residencial",8,254.7,27.63
"casa","costa",65.3,5,"sí","no","residencial",5,190.5,28.43
